Area_name,Area_type,Average_2018_2019,Category,Count,Month,Type,Variation (%)
NHS Ayrshire & Arran,Health board,29.5,0-4,14,2021-06-01,age,-52.5
NHS Dumfries & Galloway,Health board,10,0-4,13,2021-06-01,age,30
NHS Fife,Health board,21,0-4,15,2021-06-01,age,-28.6
NHS Forth Valley,Health board,12.5,0-4,8,2021-06-01,age,-36
NHS Grampian,Health board,29.5,0-4,33,2021-06-01,age,11.9
NHS Greater Glasgow & Clyde,Health board,70.5,0-4,64,2021-06-01,age,-9.2
NHS Highland,Health board,9,0-4,5,2021-06-01,age,-44.4
NHS Lanarkshire,Health board,32.5,0-4,37,2021-06-01,age,13.8
NHS Lothian,Health board,26,0-4,32,2021-06-01,age,23.1
NHS Tayside,Health board,16.5,0-4,26,2021-06-01,age,57.6
NHS Ayrshire & Arran,Health board,154.5,1 - most deprived,127,2021-06-01,dep,-17.8
NHS Borders,Health board,13.5,1 - most deprived,6,2021-06-01,dep,-55.6
NHS Dumfries & Galloway,Health board,16,1 - most deprived,23,2021-06-01,dep,43.8
NHS Fife,Health board,90.5,1 - most deprived,99,2021-06-01,dep,9.4
NHS Forth Valley,Health board,66,1 - most deprived,70,2021-06-01,dep,6.1
NHS Grampian,Health board,37,1 - most deprived,35,2021-06-01,dep,-5.4
NHS Greater Glasgow & Clyde,Health board,553,1 - most deprived,578,2021-06-01,dep,4.5
NHS Highland,Health board,37,1 - most deprived,32,2021-06-01,dep,-13.5
NHS Lanarkshire,Health board,211.5,1 - most deprived,230,2021-06-01,dep,8.7
NHS Lothian,Health board,115.5,1 - most deprived,138,2021-06-01,dep,19.5
NHS Tayside,Health board,88,1 - most deprived,113,2021-06-01,dep,28.4
NHS Ayrshire & Arran,Health board,18.5,12-17,22,2021-06-01,age,18.9
NHS Borders,Health board,6.5,12-17,10,2021-06-01,age,53.8
NHS Dumfries & Galloway,Health board,6,12-17,6,2021-06-01,age,0
NHS Fife,Health board,15.5,12-17,12,2021-06-01,age,-22.6
NHS Forth Valley,Health board,13.5,12-17,10,2021-06-01,age,-25.9
NHS Grampian,Health board,15.5,12-17,22,2021-06-01,age,41.9
NHS Greater Glasgow & Clyde,Health board,62,12-17,47,2021-06-01,age,-24.2
NHS Highland,Health board,12.5,12-17,13,2021-06-01,age,4
NHS Lanarkshire,Health board,26,12-17,21,2021-06-01,age,-19.2
NHS Lothian,Health board,21,12-17,24,2021-06-01,age,14.3
NHS Tayside,Health board,20.5,12-17,26,2021-06-01,age,26.8
NHS Ayrshire & Arran,Health board,21.5,18-24,14,2021-06-01,age,-34.9
NHS Dumfries & Galloway,Health board,6,18-24,8,2021-06-01,age,33.3
NHS Fife,Health board,15,18-24,14,2021-06-01,age,-6.7
NHS Forth Valley,Health board,16.5,18-24,20,2021-06-01,age,21.2
NHS Grampian,Health board,27.5,18-24,19,2021-06-01,age,-30.9
NHS Greater Glasgow & Clyde,Health board,59,18-24,77,2021-06-01,age,30.5
NHS Highland,Health board,14.5,18-24,23,2021-06-01,age,58.6
NHS Lanarkshire,Health board,27,18-24,27,2021-06-01,age,0
NHS Lothian,Health board,42,18-24,39,2021-06-01,age,-7.1
NHS Tayside,Health board,34.5,18-24,22,2021-06-01,age,-36.2
NHS Ayrshire & Arran,Health board,103.5,2,82,2021-06-01,dep,-20.8
NHS Borders,Health board,24.5,2,24,2021-06-01,dep,-2
NHS Dumfries & Galloway,Health board,36,2,40,2021-06-01,dep,11.1
NHS Fife,Health board,91.5,2,90,2021-06-01,dep,-1.6
NHS Forth Valley,Health board,72,2,75,2021-06-01,dep,4.2
NHS Grampian,Health board,83.5,2,84,2021-06-01,dep,0.6
NHS Greater Glasgow & Clyde,Health board,208.5,2,243,2021-06-01,dep,16.5
NHS Highland,Health board,50,2,54,2021-06-01,dep,8
NHS Lanarkshire,Health board,178,2,207,2021-06-01,dep,16.3
NHS Lothian,Health board,185,2,210,2021-06-01,dep,13.5
NHS Tayside,Health board,98.5,2,88,2021-06-01,dep,-10.7
NHS Western Isles,Health board,7.5,2,7,2021-06-01,dep,-6.7
NHS Ayrshire & Arran,Health board,51.5,25-44,58,2021-06-01,age,12.6
NHS Borders,Health board,13.5,25-44,8,2021-06-01,age,-40.7
NHS Dumfries & Galloway,Health board,15,25-44,14,2021-06-01,age,-6.7
NHS Fife,Health board,48,25-44,56,2021-06-01,age,16.7
NHS Forth Valley,Health board,45.5,25-44,58,2021-06-01,age,27.5
NHS Grampian,Health board,69.5,25-44,65,2021-06-01,age,-6.5
NHS Greater Glasgow & Clyde,Health board,191.5,25-44,223,2021-06-01,age,16.4
NHS Highland,Health board,40,25-44,38,2021-06-01,age,-5
NHS Lanarkshire,Health board,102.5,25-44,106,2021-06-01,age,3.4
NHS Lothian,Health board,130,25-44,129,2021-06-01,age,-0.8
NHS Tayside,Health board,76,25-44,74,2021-06-01,age,-2.6
NHS Western Isles,Health board,4,25-44,5,2021-06-01,age,25
NHS Ayrshire & Arran,Health board,63.5,3,72,2021-06-01,dep,13.4
NHS Borders,Health board,46.5,3,44,2021-06-01,dep,-5.4
NHS Dumfries & Galloway,Health board,63.5,3,69,2021-06-01,dep,8.7
NHS Fife,Health board,70.5,3,67,2021-06-01,dep,-5
NHS Forth Valley,Health board,69.5,3,72,2021-06-01,dep,3.6
NHS Grampian,Health board,97,3,109,2021-06-01,dep,12.4
NHS Greater Glasgow & Clyde,Health board,139,3,125,2021-06-01,dep,-10.1
NHS Highland,Health board,112,3,107,2021-06-01,dep,-4.5
NHS Lanarkshire,Health board,101,3,110,2021-06-01,dep,8.9
NHS Lothian,Health board,111,3,129,2021-06-01,dep,16.2
NHS Shetland,Health board,8,3,8,2021-06-01,dep,0
NHS Tayside,Health board,98,3,95,2021-06-01,dep,-3.1
NHS Western Isles,Health board,35.5,3,34,2021-06-01,dep,-4.2
NHS Ayrshire & Arran,Health board,50.5,4,49,2021-06-01,dep,-3
NHS Borders,Health board,34,4,26,2021-06-01,dep,-23.5
NHS Dumfries & Galloway,Health board,17.5,4,24,2021-06-01,dep,37.1
NHS Fife,Health board,65.5,4,72,2021-06-01,dep,9.9
NHS Forth Valley,Health board,57.5,4,60,2021-06-01,dep,4.3
NHS Grampian,Health board,122.5,4,138,2021-06-01,dep,12.7
NHS Greater Glasgow & Clyde,Health board,128,4,127,2021-06-01,dep,-0.8
NHS Highland,Health board,74.5,4,63,2021-06-01,dep,-15.4
NHS Lanarkshire,Health board,87.5,4,83,2021-06-01,dep,-5.1
NHS Lothian,Health board,118.5,4,114,2021-06-01,dep,-3.8
NHS Orkney,Health board,9.5,4,7,2021-06-01,dep,-26.3
NHS Shetland,Health board,11.5,4,11,2021-06-01,dep,-4.3
NHS Tayside,Health board,121,4,99,2021-06-01,dep,-18.2
NHS Ayrshire & Arran,Health board,82,45-64,76,2021-06-01,age,-7.3
NHS Borders,Health board,30,45-64,18,2021-06-01,age,-40
NHS Dumfries & Galloway,Health board,27,45-64,26,2021-06-01,age,-3.7
NHS Fife,Health board,61,45-64,73,2021-06-01,age,19.7
NHS Forth Valley,Health board,64,45-64,60,2021-06-01,age,-6.2
NHS Grampian,Health board,91,45-64,106,2021-06-01,age,16.5
NHS Greater Glasgow & Clyde,Health board,278.5,45-64,285,2021-06-01,age,2.3
NHS Highland,Health board,56,45-64,51,2021-06-01,age,-8.9
NHS Lanarkshire,Health board,134.5,45-64,129,2021-06-01,age,-4.1
NHS Lothian,Health board,142,45-64,175,2021-06-01,age,23.2
NHS Tayside,Health board,77.5,45-64,96,2021-06-01,age,23.9
NHS Western Isles,Health board,8.5,45-64,10,2021-06-01,age,17.6
NHS Ayrshire & Arran,Health board,40,5 - least deprived,40,2021-06-01,dep,0
NHS Borders,Health board,7.5,5 - least deprived,7,2021-06-01,dep,-6.7
NHS Dumfries & Galloway,Health board,9,5 - least deprived,10,2021-06-01,dep,11.1
NHS Fife,Health board,59,5 - least deprived,45,2021-06-01,dep,-23.7
NHS Forth Valley,Health board,46,5 - least deprived,60,2021-06-01,dep,30.4
NHS Grampian,Health board,106.5,5 - least deprived,100,2021-06-01,dep,-6.1
NHS Greater Glasgow & Clyde,Health board,187,5 - least deprived,177,2021-06-01,dep,-5.3
NHS Highland,Health board,16.5,5 - least deprived,13,2021-06-01,dep,-21.2
NHS Lanarkshire,Health board,62,5 - least deprived,54,2021-06-01,dep,-12.9
NHS Lothian,Health board,192.5,5 - least deprived,243,2021-06-01,dep,26.2
NHS Tayside,Health board,77.5,5 - least deprived,71,2021-06-01,dep,-8.4
NHS Ayrshire & Arran,Health board,30,5-11,26,2021-06-01,age,-13.3
NHS Borders,Health board,7.5,5-11,11,2021-06-01,age,46.7
NHS Dumfries & Galloway,Health board,9,5-11,11,2021-06-01,age,22.2
NHS Fife,Health board,23,5-11,14,2021-06-01,age,-39.1
NHS Forth Valley,Health board,26.5,5-11,24,2021-06-01,age,-9.4
NHS Grampian,Health board,35.5,5-11,31,2021-06-01,age,-12.7
NHS Greater Glasgow & Clyde,Health board,106.5,5-11,75,2021-06-01,age,-29.6
NHS Highland,Health board,17,5-11,16,2021-06-01,age,-5.9
NHS Lanarkshire,Health board,59.5,5-11,58,2021-06-01,age,-2.5
NHS Lothian,Health board,38.5,5-11,39,2021-06-01,age,1.3
NHS Tayside,Health board,32,5-11,20,2021-06-01,age,-37.5
NHS Ayrshire & Arran,Health board,89,65-79,76,2021-06-01,age,-14.6
NHS Borders,Health board,26,65-79,28,2021-06-01,age,7.7
NHS Dumfries & Galloway,Health board,32.5,65-79,40,2021-06-01,age,23.1
NHS Fife,Health board,82,65-79,75,2021-06-01,age,-8.5
NHS Forth Valley,Health board,59,65-79,68,2021-06-01,age,15.3
NHS Grampian,Health board,80.5,65-79,87,2021-06-01,age,8.1
NHS Greater Glasgow & Clyde,Health board,200.5,65-79,221,2021-06-01,age,10.2
NHS Highland,Health board,69,65-79,62,2021-06-01,age,-10.1
NHS Lanarkshire,Health board,124.5,65-79,155,2021-06-01,age,24.5
NHS Lothian,Health board,130,65-79,154,2021-06-01,age,18.5
NHS Tayside,Health board,90,65-79,81,2021-06-01,age,-10
NHS Western Isles,Health board,12,65-79,12,2021-06-01,age,0
NHS Ayrshire & Arran,Health board,90,80 and over,84,2021-06-01,age,-6.7
NHS Borders,Health board,32,80 and over,28,2021-06-01,age,-12.5
NHS Dumfries & Galloway,Health board,36.5,80 and over,48,2021-06-01,age,31.5
NHS Fife,Health board,111.5,80 and over,114,2021-06-01,age,2.2
NHS Forth Valley,Health board,73.5,80 and over,89,2021-06-01,age,21.1
NHS Grampian,Health board,97.5,80 and over,103,2021-06-01,age,5.6
NHS Greater Glasgow & Clyde,Health board,247,80 and over,258,2021-06-01,age,4.5
NHS Highland,Health board,72,80 and over,61,2021-06-01,age,-15.3
NHS Lanarkshire,Health board,133.5,80 and over,151,2021-06-01,age,13.1
NHS Lothian,Health board,193,80 and over,242,2021-06-01,age,25.4
NHS Shetland,Health board,4.5,80 and over,5,2021-06-01,age,11.1
NHS Tayside,Health board,136,80 and over,121,2021-06-01,age,-11
NHS Western Isles,Health board,10.5,80 and over,9,2021-06-01,age,-14.3
NHS Ayrshire & Arran,Health board,412,All,370,2021-06-01,all,-10.2
NHS Borders,Health board,126,All,107,2021-06-01,all,-15.1
NHS Dumfries & Galloway,Health board,142,All,166,2021-06-01,all,16.9
NHS Fife,Health board,377,All,373,2021-06-01,all,-1.1
NHS Forth Valley,Health board,311,All,337,2021-06-01,all,8.4
NHS Grampian,Health board,446.5,All,466,2021-06-01,all,4.4
NHS Greater Glasgow & Clyde,Health board,1215.5,All,1250,2021-06-01,all,2.8
NHS Highland,Health board,290,All,269,2021-06-01,all,-7.2
NHS Lanarkshire,Health board,640,All,684,2021-06-01,all,6.9
NHS Lothian,Health board,722.5,All,834,2021-06-01,all,15.4
NHS Orkney,Health board,18,All,10,2021-06-01,all,-44.4
NHS Shetland,Health board,21.5,All,20,2021-06-01,all,-7
NHS Tayside,Health board,483,All,466,2021-06-01,all,-3.5
NHS Western Isles,Health board,43,All,41,2021-06-01,all,-4.7
NHS Ayrshire & Arran,Health board,201.5,Female,190,2021-06-01,sex,-5.7
NHS Borders,Health board,53.5,Female,52,2021-06-01,sex,-2.8
NHS Dumfries & Galloway,Health board,74.5,Female,84,2021-06-01,sex,12.8
NHS Fife,Health board,205,Female,203,2021-06-01,sex,-1
NHS Forth Valley,Health board,156.5,Female,169,2021-06-01,sex,8
NHS Grampian,Health board,201.5,Female,220,2021-06-01,sex,9.2
NHS Greater Glasgow & Clyde,Health board,562.5,Female,623,2021-06-01,sex,10.8
NHS Highland,Health board,151.5,Female,126,2021-06-01,sex,-16.8
NHS Lanarkshire,Health board,301.5,Female,353,2021-06-01,sex,17.1
NHS Lothian,Health board,342,Female,464,2021-06-01,sex,35.7
NHS Shetland,Health board,10.5,Female,13,2021-06-01,sex,23.8
NHS Tayside,Health board,242.5,Female,226,2021-06-01,sex,-6.8
NHS Western Isles,Health board,22.5,Female,20,2021-06-01,sex,-11.1
NHS Ayrshire & Arran,Health board,133.5,Home,132,2021-06-01,injurylocation,-1.1
NHS Borders,Health board,54.5,Home,56,2021-06-01,injurylocation,2.8
NHS Dumfries & Galloway,Health board,58.5,Home,74,2021-06-01,injurylocation,26.5
NHS Fife,Health board,150,Home,150,2021-06-01,injurylocation,0
NHS Forth Valley,Health board,82,Home,93,2021-06-01,injurylocation,13.4
NHS Grampian,Health board,171.5,Home,206,2021-06-01,injurylocation,20.1
NHS Greater Glasgow & Clyde,Health board,322.5,Home,322,2021-06-01,injurylocation,-0.2
NHS Highland,Health board,88.5,Home,92,2021-06-01,injurylocation,4
NHS Lanarkshire,Health board,167.5,Home,221,2021-06-01,injurylocation,31.9
NHS Lothian,Health board,266,Home,394,2021-06-01,injurylocation,48.1
